Код             | Марка                | количество | Корея цена      | Европа цена     | Файлы     
----------------------------------------------------------------------------------------------------
61217604808     | BMW                  | 7          | 34000.00        | 33000.00        | Корея Европа
LR031668        | LAND ROVER           | 2          | 15000.00        | —               | Корея 
A2223207413     | MERCEDES-BENZ        | 2          | —               | 120000.00       | Европа
E62111LA7B      | NISSAN INFINITI      | 3          | 41000.00        | 40000.00        | Корея Европа
E62101LA7B      | NISSAN INFINITI      | 7          | 41000.00        | 40000.00        | Корея Европа
37106899043     | BMW                  | 2          | —               | 80000.00        | Европа
37106877560     | BMW                  | 1          | —               | 44000.00        | Европа
31316789362     | BMW                  | 6          | 21000.00        | 20000.00        | Корея Европа
37106869035     | BMW                  | 6          | —               | 72000.00        | Европа
84176631        | GM                   | 5          | 19200.00        | 19000.00        | Корея Европа
A2213201838     | MERCEDES-BENZ        | 2          | —               | 90000.00        | Европа
A2233207302     | MERCEDES-BENZ        | 1          | 121000.00       | 120000.00       | Корея Европа
24257276        | GM                   | 3          | 41000.00        | 40000.00        | Корея Европа
06H198205N      | VAG                  | 10         | 17000.00        | 16000.00        | Корея Европа
LR038557        | LAND ROVER           | 19         | —               | 2000.00         | Европа
LR076696        | LAND ROVER           | 5          | 62000.00        | 60000.00        | Корея Европа
9813754680      | CITROEN/PEUGEOT      | 14         | —               | 4200.00         | Европа
24418424        | GM                   | 14         | 7500.00         | 7500.00         | Корея Европа
95B907253       | PORSCHE              | 10         | —               | 2500.00         | Европа
96253544        | DAEWOO               | 2          | —               | 1900.00         | Европа
4M0615601P      | VAG                  | 8          | 11000.00        | 10000.00        | Корея Европа
34216775289     | BMW                  | 6          | —               | 37000.00        | Европа
34216775287     | BMW                  | 2          | —               | 18000.00        | Европа
A2224231500     | MERCEDES-BENZ        | 6          | —               | 13000.00        | Европа
A2234233400     | MERCEDES-BENZ        | 8          | —               | 10000.00        | Европа
A4634230000     | MERCEDES-BENZ        | 5          | —               | 15400.00        | Европа
97035240500     | PORSCHE              | 6          | 30000.00        | —               | Корея 
298615601B      | PORSCHE              | 7          | 20000.00        | 20000.00        | Корея Европа
298615602B      | PORSCHE              | 2          | 20000.00        | 20000.00        | Корея Европа
8W0615601K      | VAG                  | 2          | 12500.00        | 12000.00        | Корея Европа
34116887397     | BMW                  | 9          | 14000.00        | 13000.00        | Корея Европа
34116860907     | BMW                  | 8          | —               | 19000.00        | Европа
34106879122     | BMW                  | 12         | —               | 7000.00         | Европа
34116794429     | BMW                  | 2          | —               | 0.00            | Европа
34106877212     | BMW                  | 2          | —               | 6000.00         | Европа
34118054825     | BMW                  | 1          | —               | 40000.00        | Европа
34116868938     | BMW                  | 6          | —               | 10000.00        | Европа
34116782067     | BMW                  | 1          | —               | 17000.00        | Европа
34116898727     | BMW                  | 1          | —               | 16000.00        | Европа
A4634210012     | MERCEDES-BENZ        | 18         | —               | 21000.00        | Европа
A1644211412     | MERCEDES-BENZ        | 1          | —               | 14000.00        | Европа
A1664211600     | MERCEDES-BENZ        | 2          | —               | 14000.00        | Европа
A2224215000     | MERCEDES-BENZ        | 6          | —               | 14000.00        | Европа
4351260210      | TOYOTA LEXUS         | 14         | 8500.00         | 8000.00         | Корея Европа
4M0615301AS     | VAG                  | 7          | 14500.00        | 14000.00        | Корея Европа
LR078748        | LAND ROVER           | 4          | 26000.00        | 25000.00        | Корея Европа
LR078728        | LAND ROVER           | 22         | 30000.00        | 30000.00        | Корея Европа
A2710501500     | MERCEDES-BENZ        | 6          | —               | 8000.00         | Европа
5047437         | FORD                 | 5          | 1250.00         | 1200.00         | Корея Европа
A2649061200     | MERCEDES-BENZ        | 7          | —               | 8000.00         | Европа
11127547058     | BMW                  | 9          | —               | 6000.00         | Европа
64116906652     | BMW                  | 5          | —               | 3500.00         | Европа
64219310349     | BMW                  | 1          | 5000.00         | 4400.00         | Корея Европа
A0001531159     | MERCEDES-BENZ        | 17         | —               | 4000.00         | Европа
12655420        | GM                   | 4          | 1200.00         | 1100.00         | Корея Европа
12655421        | GM                   | 3          | 1100.00         | 1050.00         | Корея Европа
06L109259A      | VAG                  | 20         | 4200.00         | 4000.00         | Корея Европа
06L109257F      | VAG                  | 13         | —               | 4000.00         | Европа
A2710500578     | MERCEDES-BENZ        | 16         | —               | 2800.00         | Европа
06F906283F      | VAG                  | 6          | —               | 3800.00         | Европа
A0054206120     | MERCEDES-BENZ        | 13         | —               | 3140.00         | Европа
LR095295        | LAND ROVER           | 9          | 5000.00         | 4500.00         | Корея Европа
8V0698151C      | VAG                  | 1          | 18500.00        | 18000.00        | Корея Европа
LR091568        | LAND ROVER           | 9          | —               | 7000.00         | Европа
LR114004        | LAND ROVER           | 3          | —               | 6500.00         | Европа
58101J5A25      | KIA HYUNDAI          | 28         | 3800.00         | 3700.00         | Корея Европа
A0004203802     | MERCEDES-BENZ        | 9          | —               | 6000.00         | Европа
A0004200804     | MERCEDES-BENZ        | 5          | —               | 9000.00         | Европа
A0004206603     | MERCEDES-BENZ        | 1          | —               | 17000.00        | Европа
58101P2A70      | KIA HYUNDAI          | 45         | 2700.00         | 2600.00         | Корея Европа
34216862202     | BMW                  | 7          | —               | 6000.00         | Европа
34216774692     | BMW                  | 8          | —               | 5500.00         | Европа
34216885451     | BMW                  | 1          | —               | 8000.00         | Европа
34201543683     | BMW                  | 6          | 6200.00         | 6000.00         | Корея Европа
LR055455        | LAND ROVER           | 7          | 3600.00         | 3500.00         | Корея Европа
A0074208220     | MERCEDES-BENZ        | 15         | —               | 6000.00         | Европа
A0004203805     | MERCEDES-BENZ        | 3          | —               | 11000.00        | Европа
A0004204202     | MERCEDES-BENZ        | 5          | —               | 3500.00         | Европа
A0004203602     | MERCEDES-BENZ        | 7          | —               | 6500.00         | Европа
A0004209720     | MERCEDES-BENZ        | 1          | —               | 4000.00         | Европа
58101H5A25      | KIA HYUNDAI          | 23         | —               | 5600.00         | Европа
4M0698151BH     | VAG                  | 2          | 19000.00        | 18000.00        | Корея Европа
34116888457     | BMW                  | 15         | —               | 16000.00        | Европа
34106860019     | BMW                  | 14         | —               | 6000.00         | Европа
84847749        | GM                   | 4          | 8100.00         | 8000.00         | Корея Европа
A0004207200     | MERCEDES-BENZ        | 10         | —               | 5000.00         | Европа
7L6698151J      | VAG                  | 8          | —               | 9000.00         | Европа
93742294        | GM                   | 1          | 3000.00         | 3000.00         | Корея Европа
93745432        | GM                   | 6          | 3800.00         | 3800.00         | Корея Европа
13537564751     | BMW                  | 27         | —               | 800.00          | Европа
130C11508R      | RENAULT              | 1          | 6600.00         | 6500.00         | Корея Европа
530045010       | INA                  | 10         | 8500.00         | 9000.00         | Корея Европа
559006310       | INA                  | 2          | —               | 25000.00        | Европа
VPLKP0500       | LAND ROVER           | 0          | 82000.00        | 80000.00        | Корея Европа
059115389P      | VAG                  | 2          | 13000.00        | 12000.00        | Корея Европа
93186324        | GM                   | 1          | 7500.00         | 7000.00         | Корея Европа
VPLGP0248       | LAND ROVER           | 2          | —               | 75000.00        | Европа
VPLGP0139       | LAND ROVER           | 21         | 24500.00        | 24000.00        | Корея Европа
LR004809        | LAND ROVER           | 24         | —               | 28000.00        | Европа
55573746        | GM                   | 11         | —               | 5500.00         | Европа
11127823181     | BMW                  | 5          | 19000.00        | 18000.00        | Корея Европа
LR023777        | LAND ROVER           | 5          | 11000.00        | 10000.00        | Корея Европа
17117639020     | BMW                  | 18         | 650.00          | 600.00          | Корея Европа
17117639021     | BMW                  | 9          | —               | 1400.00         | Европа
25182881        | GM                   | 1          | 10500.00        | 10000.00        | Корея Европа
LR123716        | LAND ROVER           | 3          | 46000.00        | 45000.00        | Корея Европа
55579072        | GM                   | 9          | 12000.00        | 12000.00        | Корея Европа
LR004808        | LAND ROVER           | 11         | —               | 30000.00        | Европа
LR036573        | LAND ROVER           | 1          | 7500.00         | 7000.00         | Корея Европа
1638159880      | PEUGEOT CITROEN      | 16         | 112000.00       | 110000.00       | Корея Европа
LR059261        | LAND ROVER           | 2          | 10500.00        | 10000.00        | Корея Европа
LR082226        | LAND ROVER           | 1          | 20500.00        | 20000.00        | Корея Европа
31293668        | VOLVO                | 1          | 12500.00        | 12000.00        | Корея Европа
1K0965561J      | VAG                  | 1          | —               | 4000.00         | Европа
11417610378     | BMW                  | 1          | 33000.00        | 32000.00        | Корея Европа
12686433        | GM                   | 1          | 22500.00        | 22000.00        | Корея Европа
LR035493        | LAND ROVER           | 3          | 7000.00         | 6500.00         | Корея Европа
LR034128        | LAND ROVER           | 5          | 12100.00        | 10000.00        | Корея Европа
22316864675     | BMW                  | 1          | —               | 4000.00         | Европа
LR092039        | LAND ROVER           | 2          | 6000.00         | 5600.00         | Корея Европа
LR091364        | LAND ROVER           | 1          | —               | 15500.00        | Европа
94509533        | GM                   | 2          | —               | 16000.00        | Европа
22116793016     | BMW                  | 3          | —               | 7500.00         | Европа
22116865145     | BMW                  | 12         | —               | 8000.00         | Европа
22116865146     | BMW                  | 1          | —               | 4000.00         | Европа
A1662406817     | MERCEDES-BENZ        | 9          | —               | 10000.00        | Европа
A1662405817     | MERCEDES-BENZ        | 9          | —               | 9000.00         | Европа
A2462401209     | MERCEDES-BENZ        | 15         | 7200.00         | 7000.00         | Корея Европа
94637505833     | PORSCHE              | 5          | 15000.00        | 14000.00        | Корея Европа
94637505740     | PORSCHE              | 4          | 24000.00        | 24000.00        | Корея Европа
A6420908237     | MERCEDES-BENZ        | 8          | —               | 17000.00        | Европа
PNH500361       | LAND ROVER           | 1          | —               | 3500.00         | Европа
LR028136        | LAND ROVER           | 4          | —               | 2400.00         | Европа
37126795013     | BMW                  | 4          | —               | 6500.00         | Европа
RKB500250       | LAND ROVER           | 14         | —               | 55000.00        | Европа
4809035011      | TOYOTA LEXUS         | 8          | 12500.00        | 12000.00        | Корея Европа
24152333907     | BMW                  | 4          | 4800.00         | 4500.00         | Корея Европа
1087298437      | ZF                   | 11         | 4600.00         | 4500.00         | Корея Европа
