Строка 1, B1: Код произв-ля, Остаток: Остаток
Строка 2, B2: , Остаток: 0
Строка 3, B3: , Остаток: 0
Строка 4, B4: , Остаток: 0
Строка 5, B5: , Остаток: 0
Строка 6, B6: , Остаток: 0
Строка 7, B7: , Остаток: 0
Строка 8, B8: , Остаток: 0
Строка 9, B9: , Остаток: 0
Строка 10, B10: , Остаток: 0
Строка 11, B11: , Остаток: 0
Строка 12, B12: , Остаток: 0
Строка 13, B13: , Остаток: 0
Строка 14, B14: , Остаток: 0
Строка 15, B15: , Остаток: 0
Строка 16, B16: , Остаток: 0
Строка 17, B17: , Остаток: 0
Строка 18, B18: , Остаток: 0
Строка 19, B19: , Остаток: 0
Строка 20, B20: , Остаток: 0
Строка 21, B21: , Остаток: 0
Строка 22, B22: , Остаток: 0
Строка 23, B23: , Остаток: 0
Строка 24, B24: , Остаток: 0
Строка 25, B25: , Остаток: 0
Строка 26, B26: , Остаток: 0
Строка 27, B27: , Остаток: 0
Строка 28, B28: , Остаток: 0
Строка 29, B29: , Остаток: 0
Строка 30, B30: , Остаток: 0
Строка 31, B31: , Остаток: 0
Строка 32, B32: , Остаток: 0
Строка 33, B33: , Остаток: 0
Строка 34, B34: , Остаток: 0
Строка 35, B35: , Остаток: 0
Строка 36, B36: , Остаток: 0
Строка 37, B37: , Остаток: 0
Строка 38, B38: , Остаток: 0
Строка 39, B39: , Остаток: 0
Строка 40, B40: , Остаток: 0
Строка 41, B41: , Остаток: 0
Строка 42, B42: , Остаток: 0
Строка 43, B43: , Остаток: 0
Строка 44, B44: , Остаток: 0
Строка 45, B45: , Остаток: 0
Строка 46, B46: , Остаток: 0
Строка 47, B47: , Остаток: 0
Строка 48, B48: , Остаток: 0
Строка 49, B49: , Остаток: 0
Строка 50, B50: , Остаток: 0
Строка 51, B51: , Остаток: 0
Строка 52, B52: , Остаток: 0
Строка 53, B53: , Остаток: 0
Строка 54, B54: , Остаток: 0
Строка 55, B55: , Остаток: 0
Строка 56, B56: , Остаток: 0
Строка 57, B57: , Остаток: 0
Строка 58, B58: , Остаток: 0
Строка 59, B59: , Остаток: 0
Строка 60, B60: , Остаток: 0
Строка 61, B61: , Остаток: 0
Строка 62, B62: , Остаток: 0
Строка 63, B63: , Остаток: 0
Строка 64, B64: , Остаток: 0
Строка 65, B65: , Остаток: 0
Строка 66, B66: , Остаток: 0
Строка 67, B67: , Остаток: 0
Строка 68, B68: , Остаток: 0
Строка 69, B69: , Остаток: 0
Строка 70, B70: , Остаток: 0
Строка 71, B71: , Остаток: 0
Строка 72, B72: , Остаток: 0
Строка 73, B73: , Остаток: 0
Строка 74, B74: , Остаток: 0
Строка 75, B75: , Остаток: 0
Строка 76, B76: , Остаток: 0
Строка 77, B77: , Остаток: 0
Строка 78, B78: , Остаток: 0
Строка 79, B79: , Остаток: 0
Строка 80, B80: , Остаток: 0
Строка 81, B81: , Остаток: 0
Строка 82, B82: , Остаток: 0
Строка 83, B83: , Остаток: 0
Строка 84, B84: , Остаток: 0
Строка 85, B85: , Остаток: 0
Строка 86, B86: , Остаток: 0
Строка 87, B87: , Остаток: 0
Строка 88, B88: , Остаток: 0
Строка 89, B89: , Остаток: 0
Строка 90, B90: , Остаток: 0
Строка 91, B91: , Остаток: 0
Строка 92, B92: , Остаток: 0
Строка 93, B93: , Остаток: 0
Строка 94, B94: , Остаток: 0
Строка 95, B95: , Остаток: 0
Строка 96, B96: , Остаток: 0
Строка 97, B97: , Остаток: 0
Строка 98, B98: , Остаток: 0
Строка 99, B99: , Остаток: -4.000
Строка 100, B100: , Остаток: 0
Строка 101, B101: , Остаток: 0
Строка 102, B102: , Остаток: 0
Строка 103, B103: , Остаток: 0
Строка 104, B104: , Остаток: 0
Строка 105, B105: , Остаток: 0
Строка 106, B106: , Остаток: 0
Строка 107, B107: , Остаток: 0
Строка 108, B108: , Остаток: 0
Строка 109, B109: , Остаток: 0
Строка 110, B110: , Остаток: 0
Строка 111, B111: , Остаток: 0
Строка 112, B112: , Остаток: 0
Строка 113, B113: , Остаток: 0
Строка 114, B114: , Остаток: 0
Строка 115, B115: , Остаток: 0
Строка 116, B116: , Остаток: 0
Строка 117, B117: , Остаток: 0
Строка 118, B118: , Остаток: 0
Строка 119, B119: , Остаток: 0
Строка 120, B120: , Остаток: 0
Строка 121, B121: , Остаток: 0
Строка 122, B122: , Остаток: 0
Строка 123, B123: , Остаток: 0
Строка 124, B124: , Остаток: 0
Строка 125, B125: , Остаток: 0
Строка 126, B126: , Остаток: 0
Строка 127, B127: , Остаток: 0
Строка 128, B128: , Остаток: 0
Строка 129, B129: , Остаток: 0
Строка 130, B130: , Остаток: 0
Строка 131, B131: , Остаток: 0
Строка 132, B132: , Остаток: 0
Строка 133, B133: , Остаток: 0
Строка 134, B134: , Остаток: 0
Строка 135, B135: , Остаток: 0
Строка 136, B136: , Остаток: 0
Строка 137, B137: , Остаток: 0
Строка 138, B138: , Остаток: 0
Строка 139, B139: , Остаток: 0
Строка 140, B140: , Остаток: 0
Строка 141, B141: , Остаток: 0
Строка 142, B142: , Остаток: 0
Строка 143, B143: , Остаток: 0
Строка 144, B144: , Остаток: 0
