Код             | Марка                | Старое кол-во   | Файл
--------------------------------------------------------------------------------
19302764        | GM                   | 4               | XZAD_Корея.xlsx
19302764        | GM                   | 8               | XZAP_Э.xlsx
LR111854        | LAND ROVER           | 2               | XZAD_Корея.xlsx
LR111854        | LAND ROVER           | 2               | XZAP_Э.xlsx
LR109360        | LAND ROVER           | 4               | XZAD_Корея.xlsx
LR109360        | LAND ROVER           | 4               | XZAP_Э.xlsx
A1663200130     | MERCEDES-BENZ        | 4               | XZAD_Корея.xlsx
A1663200130     | MERCEDES-BENZ        | 4               | XZAP_Э.xlsx
A2233209703     | MERCEDES-BENZ        | 1               | XZAP_Э.xlsx
A2233209803     | MERCEDES-BENZ        | 2               | XZAP_Э.xlsx
MMKI020         | JAPANPARTS           | 2               | XZAD_Корея.xlsx
LR049207        | LAND ROVER           | 2               | XZAD_Корея.xlsx
LR049207        | LAND ROVER           | 2               | XZAP_Э.xlsx
51247332696     | BMW                  | 8               | XZAP_Э.xlsx
LR032567        | LAND ROVER           | 1               | XZAD_Корея.xlsx
LR032567        | LAND ROVER           | 1               | XZAP_Э.xlsx
A2183206513     | MERCEDES-BENZ        | 1               | XZAD_Корея.xlsx
A2183206513     | MERCEDES-BENZ        | 1               | XZAP_Э.xlsx
A2183206613     | MERCEDES-BENZ        | 1               | XZAD_Корея.xlsx
A2183206613     | MERCEDES-BENZ        | 1               | XZAP_Э.xlsx
A2233208903     | MERCEDES-BENZ        | 4               | XZAP_Э.xlsx
97034306133     | PORSCHE              | 1               | XZAD_Корея.xlsx
97034306133     | PORSCHE              | 1               | XZAP_Э.xlsx
97034306105     | PORSCHE              | 2               | XZAD_Корея.xlsx
97034306105     | PORSCHE              | 2               | XZAP_Э.xlsx
19256655        | GM                   | 2               | XZAD_Корея.xlsx
19256655        | GM                   | 2               | XZAP_Э.xlsx
22870828        | GM                   | 1               | XZAD_Корея.xlsx
22870828        | GM                   | 1               | XZAP_Э.xlsx
63117248050     | BMW                  | 2               | XZAD_Корея.xlsx
63117248050     | BMW                  | 4               | XZAP_Э.xlsx
5DC009060211    | HELLA                | 1               | XZAP_Э.xlsx
A2129007804     | MERCEDES-BENZ        | 2               | XZAD_Корея.xlsx
A2129007804     | MERCEDES-BENZ        | 4               | XZAP_Э.xlsx
31305106        | VOLVO                | 8               | XZAD_Корея.xlsx
31305106        | VOLVO                | 4               | XZAP_Э.xlsx
1360128021      | TOYOTA LEXUS         | 6               | XZAD_Корея.xlsx
1360128021      | TOYOTA LEXUS         | 4               | XZAP_Э.xlsx
26209425909     | BMW                  | 2               | XZAD_Корея.xlsx
26209425909     | BMW                  | 2               | XZAP_Э.xlsx
17428618239     | BMW                  | 2               | XZAD_Корея.xlsx
17428618239     | BMW                  | 4               | XZAP_Э.xlsx
93742708        | GM                   | 1               | XZAD_Корея.xlsx
93742708        | GM                   | 1               | XZAP_Э.xlsx
RVU000022       | LAND ROVER           | 10              | XZAD_Корея.xlsx
RVU000022       | LAND ROVER           | 10              | XZAP_Э.xlsx
97034379400     | PORSCHE              | 6               | XZAD_Корея.xlsx
97034379400     | PORSCHE              | 6               | XZAP_Э.xlsx
LR153547        | LAND ROVER           | 8               | XZAD_Корея.xlsx
LR153547        | LAND ROVER           | 8               | XZAP_Э.xlsx
